,As75,Cd111,Co59,Cu65,DTF spain 2009 (1st experiment),DTF spain 2009 (2nd experiment),DTF sweden 2009 (1st experiment),DTF sweden 2009 (2nd experiment),DTFmainEffect2009,FT16,K39,Mg25,Mn55,Mo98,Na23,Ni60,P31,Rb85,S34,Se82,Zn66
K39,0.16083626467920042,0.07928258035666665,0.05904392124107556,0.12893832978241238,0.11292260216048342,0.10964292652341259,0.10964292652341259,0.11292260216048342,0.1145990471310689,0.15848342533402837,1.0,0.10964292652341259,0.0599204852142257,0.0532567043544737,0.0626290334170829,0.16810644572152092,0.16564725245152345,0.06943470801103561,0.05904392124107556,0.05818018033496629,0.054849736584826975
Mg25,0.3311237329510112,0.16322403419434148,0.10964292652341259,0.22907994981548765,0.23248086267422927,0.23248086267422927,0.23248086267422927,0.22907994981548765,0.22907994981548765,0.3311237329510112,0.10964292652341259,1.0,0.11292260216048342,0.1180269718939768,0.10964292652341259,0.3311237329510112,0.3311237329510112,0.10964292652341259,0.11127068154511516,0.11127068154511516,0.12155743388100944
Mn55,0.15848342533402837,0.07585380812713456,0.05649042012439482,0.11630038054458462,0.11127068154511516,0.10964292652341259,0.11127068154511516,0.11292260216048342,0.11127068154511516,0.15848342533402837,0.0599204852142257,0.11292260216048342,1.0,0.05404735150975385,0.054849736584826975,0.15848342533402837,0.15848342533402837,0.05818018033496629,0.06450241386746189,0.06355882183920483,0.05649042012439482
Mo98,0.16083626467920042,0.08920286641071956,0.054849736584826975,0.11127068154511516,0.11630038054458462,0.11292260216048342,0.1197791961576711,0.1145990471310689,0.11630038054458462,0.16564725245152345,0.0532567043544737,0.1180269718939768,0.05404735150975385,1.0,0.054849736584826975,0.16083626467920042,0.16322403419434148,0.054849736584826975,0.055664033840436555,0.055664033840436555,0.0626290334170829
Na23,0.16322403419434148,0.08045960674953244,0.055664033840436555,0.1145990471310689,0.11292260216048342,0.11292260216048342,0.11292260216048342,0.11127068154511516,0.11127068154511516,0.15848342533402837,0.0626290334170829,0.10964292652341259,0.054849736584826975,0.054849736584826975,1.0,0.16322403419434148,0.15848342533402837,0.05904392124107556,0.0599204852142257,0.05649042012439482,0.0532567043544737
Ni60,0.4786229725112321,0.24298954965404493,0.15848342533402837,0.33603958421662683,0.3311237329510112,0.3311237329510112,0.3311237329510112,0.3311237329510112,0.3311237329510112,0.4786229725112321,0.16810644572152092,0.3311237329510112,0.15848342533402837,0.16083626467920042,0.16322403419434148,1.0,0.5076846779399887,0.16083626467920042,0.15848342533402837,0.15848342533402837,0.16322403419434148
P31,0.48572859228726956,0.2394349074591892,0.15848342533402837,0.3311237329510112,0.34102841603682327,0.33603958421662683,0.3311237329510112,0.33603958421662683,0.34102841603682327,0.4786229725112321,0.16564725245152345,0.3311237329510112,0.15848342533402837,0.16322403419434148,0.15848342533402837,0.5076846779399887,1.0,0.16564725245152345,0.15848342533402837,0.15848342533402837,0.16322403419434148
Rb85,0.15848342533402837,0.07928258035666665,0.06450241386746189,0.1233620712588967,0.10964292652341259,0.11127068154511516,0.10964292652341259,0.10964292652341259,0.11292260216048342,0.15848342533402837,0.06943470801103561,0.10964292652341259,0.05818018033496629,0.054849736584826975,0.05904392124107556,0.16083626467920042,0.16564725245152345,1.0,0.0599204852142257,0.05649042012439482,0.05404735150975385
S34,0.15848342533402837,0.07585380812713456,0.0532567043544737,0.1180269718939768,0.10964292652341259,0.10964292652341259,0.10964292652341259,0.10964292652341259,0.10964292652341259,0.15848342533402837,0.05904392124107556,0.11127068154511516,0.06450241386746189,0.055664033840436555,0.0599204852142257,0.15848342533402837,0.15848342533402837,0.0599204852142257,1.0,0.0664318314961331,0.055664033840436555
Se82,0.15848342533402837,0.07585380812713456,0.05818018033496629,0.1180269718939768,0.10964292652341259,0.11127068154511516,0.10964292652341259,0.11127068154511516,0.10964292652341259,0.16083626467920042,0.05818018033496629,0.11127068154511516,0.06355882183920483,0.055664033840436555,0.05649042012439482,0.15848342533402837,0.15848342533402837,0.05649042012439482,0.0664318314961331,1.0,0.0532567043544737
Zn66,0.15848342533402837,0.08920286641071956,0.05649042012439482,0.10964292652341259,0.12155743388100944,0.1145990471310689,0.11292260216048342,0.11292260216048342,0.11630038054458462,0.15848342533402837,0.054849736584826975,0.12155743388100944,0.05649042012439482,0.0626290334170829,0.0532567043544737,0.16322403419434148,0.16322403419434148,0.05404735150975385,0.055664033840436555,0.0532567043544737,1.0
